epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57769,1.05323,1.37519,1.59378,1,0.99309,0.995,0.71421,0.94629,2.17608,2.03595,6e-05,6e-05,6e-05
2,4.91388,1.10012,1.65974,1.48801,1,0.99563,0.995,0.65277,1.02816,1.97299,2.14701,0.000137228,0.000137228,0.000137228
3,7.22345,0.96808,1.74157,1.54222,0.99679,1,0.995,0.65924,1.19461,1.92575,2.33157,0.000211288,0.000211288,0.000211288
4,9.52661,1.02548,1.56299,1.57186,0.97691,1,0.995,0.59848,1.3991,2.53593,2.70871,0.00028218,0.00028218,0.00028218
5,11.8447,0.98365,1.38862,1.48185,0.98454,1,0.995,0.59584,1.28435,3.04549,2.53588,0.000349904,0.000349904,0.000349904
6,14.1551,1.18305,1.56141,1.65782,0.98955,1,0.995,0.61803,1.11951,2.65182,2.33512,0.00041446,0.00041446,0.00041446
7,16.4155,1.28884,1.81336,1.80583,0.98955,1,0.995,0.61803,1.11951,2.65182,2.33512,0.000475848,0.000475848,0.000475848
8,18.6857,0.93854,1.3337,1.48645,0.99252,1,0.995,0.61681,1.287,1.82227,2.54002,0.000534068,0.000534068,0.000534068
9,21.0356,0.92162,2.02847,1.58606,0.99496,1,0.995,0.65395,1.2812,1.78797,2.47703,0.00058912,0.00058912,0.00058912
10,23.2996,1.03555,1.43663,1.56369,0.99496,1,0.995,0.65395,1.2812,1.78797,2.47703,0.000641004,0.000641004,0.000641004
11,25.6068,0.99986,1.39852,1.51226,0.98936,1,0.995,0.6406,1.19593,1.95426,2.21888,0.00068972,0.00068972,0.00068972
12,27.9161,0.90897,1.36803,1.41687,0.98936,1,0.995,0.6406,1.19593,1.95426,2.21888,0.000735268,0.000735268,0.000735268
13,30.2737,0.95111,1.38906,1.37224,0.8913,1,0.98591,0.66721,1.25589,2.14826,2.36488,0.000777648,0.000777648,0.000777648
14,32.5722,0.91886,1.20917,1.33738,0.8913,1,0.98591,0.66721,1.25589,2.14826,2.36488,0.00081686,0.00081686,0.00081686
15,34.8997,1.10971,1.61762,1.6371,0.99938,1,0.995,0.65229,1.24509,2.02232,2.39861,0.000852904,0.000852904,0.000852904
16,37.2657,0.91374,1.55383,1.40081,0.99938,1,0.995,0.65229,1.24509,2.02232,2.39861,0.00088578,0.00088578,0.00088578
17,39.565,1.07844,1.49535,1.58996,0.99938,1,0.995,0.65229,1.24509,2.02232,2.39861,0.000915488,0.000915488,0.000915488
18,41.9001,1.10458,1.54507,1.65186,1,0.99172,0.995,0.63704,1.299,2.56388,2.63775,0.000942028,0.000942028,0.000942028
19,44.2137,0.94298,1.38909,1.48586,1,0.99172,0.995,0.63704,1.299,2.56388,2.63775,0.0009654,0.0009654,0.0009654
20,46.5397,1.13899,1.33746,1.6912,1,0.99172,0.995,0.63704,1.299,2.56388,2.63775,0.000985604,0.000985604,0.000985604
21,48.8962,0.96587,1.176,1.45006,1,0.99172,0.995,0.63704,1.299,2.56388,2.63775,0.00100264,0.00100264,0.00100264
22,51.2749,1.14402,1.52624,1.69572,0.99188,1,0.995,0.57145,1.48472,2.03043,2.85188,0.00101651,0.00101651,0.00101651
23,53.6725,0.96208,1.39921,1.6153,0.99188,1,0.995,0.57145,1.48472,2.03043,2.85188,0.00102721,0.00102721,0.00102721
24,56.0981,0.82361,1.41532,1.53995,0.99188,1,0.995,0.57145,1.48472,2.03043,2.85188,0.00103474,0.00103474,0.00103474
25,58.4815,0.89381,1.25114,1.49032,0.99188,1,0.995,0.57145,1.48472,2.03043,2.85188,0.0010391,0.0010391,0.0010391
26,60.8393,0.91722,2.19087,1.4776,0.99146,1,0.995,0.5307,1.43472,2.06464,2.93351,0.00101,0.00101,0.00101
27,63.186,0.84355,1.27153,1.42257,0.99146,1,0.995,0.5307,1.43472,2.06464,2.93351,0.0009704,0.0009704,0.0009704
28,65.5311,1.02751,1.52057,1.74666,0.99146,1,0.995,0.5307,1.43472,2.06464,2.93351,0.0009308,0.0009308,0.0009308
29,67.9143,1.14971,1.78684,1.6895,0.99146,1,0.995,0.5307,1.43472,2.06464,2.93351,0.0008912,0.0008912,0.0008912
30,70.2556,0.9072,1.34969,1.44021,0.99017,1,0.995,0.53811,1.44353,1.89127,2.74336,0.0008516,0.0008516,0.0008516
31,72.6212,1.01089,1.43297,1.63636,0.99017,1,0.995,0.53811,1.44353,1.89127,2.74336,0.000812,0.000812,0.000812
32,74.922,0.86023,1.27334,1.39547,0.99017,1,0.995,0.53811,1.44353,1.89127,2.74336,0.0007724,0.0007724,0.0007724
33,77.2287,0.94394,1.32952,1.44776,0.99017,1,0.995,0.53811,1.44353,1.89127,2.74336,0.0007328,0.0007328,0.0007328
34,79.5627,0.85373,1.21478,1.41063,0.99189,1,0.995,0.60936,1.33399,1.96522,2.55468,0.0006932,0.0006932,0.0006932
35,81.8718,0.93626,1.31978,1.42671,0.99189,1,0.995,0.60936,1.33399,1.96522,2.55468,0.0006536,0.0006536,0.0006536
36,84.2617,0.98565,1.53963,1.56712,0.99189,1,0.995,0.60936,1.33399,1.96522,2.55468,0.000614,0.000614,0.000614
37,86.6018,0.78149,1.30883,1.33727,0.99189,1,0.995,0.60936,1.33399,1.96522,2.55468,0.0005744,0.0005744,0.0005744
38,88.971,0.83595,1.18822,1.43112,0.99637,1,0.995,0.68413,1.09834,1.99299,2.2225,0.0005348,0.0005348,0.0005348
39,91.266,1.05637,1.4744,1.67115,0.99637,1,0.995,0.68413,1.09834,1.99299,2.2225,0.0004952,0.0004952,0.0004952
40,93.5624,0.82598,1.21337,1.41807,0.99637,1,0.995,0.68413,1.09834,1.99299,2.2225,0.0004556,0.0004556,0.0004556
41,95.8512,0.98499,1.94876,1.91441,0.99637,1,0.995,0.68413,1.09834,1.99299,2.2225,0.000416,0.000416,0.000416
42,98.2012,0.92787,1.7809,1.78755,0.99494,1,0.995,0.70793,1.08221,1.73895,2.07158,0.0003764,0.0003764,0.0003764
43,100.479,0.78446,1.95355,1.6328,0.99494,1,0.995,0.70793,1.08221,1.73895,2.07158,0.0003368,0.0003368,0.0003368
44,102.809,0.91318,2.05377,1.73935,0.99494,1,0.995,0.70793,1.08221,1.73895,2.07158,0.0002972,0.0002972,0.0002972
45,105.153,0.83782,2.06304,1.66574,0.99494,1,0.995,0.70793,1.08221,1.73895,2.07158,0.0002576,0.0002576,0.0002576
46,107.476,0.59885,2.24953,1.3526,0.99379,1,0.995,0.69697,1.10678,1.67714,2.05024,0.000218,0.000218,0.000218
47,109.819,0.73916,1.74798,1.60228,0.99379,1,0.995,0.69697,1.10678,1.67714,2.05024,0.0001784,0.0001784,0.0001784
48,112.143,0.77396,2.07966,1.5757,0.99379,1,0.995,0.69697,1.10678,1.67714,2.05024,0.0001388,0.0001388,0.0001388
49,114.463,1.03037,2.04279,1.82002,0.99379,1,0.995,0.69697,1.10678,1.67714,2.05024,9.92e-05,9.92e-05,9.92e-05
50,116.778,0.8789,1.80738,1.75211,0.99377,1,0.995,0.70641,1.05322,1.65197,1.98861,5.96e-05,5.96e-05,5.96e-05
